,PFGDAAU LX Equity,PFTEAAU LX Equity,PFCSAAU LX Equity,PFARAAU LX Equity,PFBKAAU LX Equity,PFGOAAU LX Equity,AIBALMA AB Equity,LODFUIA LX Equity,CCASORI MK Equity,CCASLTF MK Equity,BBFTOP3 KY Equity,CRLCBUU LX Equity,BCUSDLF KK Equity,GMFDEBI LE Equity,PGPGIFA ID Equity,BLUESPH BM Equity,PFGLAAU LX Equity,ALPCRDA LX Equity,ALCONGP AB Equity,UBSFLBI LX Equity,BUTIBLI KY Equity,PGPCBFA ID Equity,SCHGTRA LX Equity
2021-04-02,145.21,147.93,140.4,162.61,112.89,129.06,20.66,114.7,2.8223,3.6139,1352.73,11.28,10.85,109.38,1.299,1202.24,128.1,136.17,1.6405,152.2,36.61,2.456,126.3122
2021-04-09,145.21,147.93,140.4,162.61,112.89,129.06,20.7567,114.7,2.8288,3.6125,1354.29,11.29,10.85,109.38,1.304,1202.24,128.1,136.43,1.6475,152.63,37.08,2.447,127.08
2021-04-16,145.21,147.93,140.4,162.61,112.89,129.06,20.8977,114.7,2.8332,3.6211,1355.66,11.28,10.86,109.38,1.309,1202.24,129.0,136.65,1.6567,152.84,37.31,2.454,127.6489
2021-04-23,145.21,147.93,140.4,162.61,112.89,129.06,20.9461,114.7,2.8393,3.6315,1357.03,11.3,10.86,109.38,1.312,1202.24,129.0,136.95,1.6551,152.83,37.25,2.508,127.4762
2021-04-30,154.28,151.02,142.48,164.25,113.58,132.12,21.2576,114.88,2.8382,3.637,1358.4,11.31,10.86,109.43,1.314,1214.23,129.26,137.33,1.6525,152.97,37.61,2.519,127.8915
2021-05-07,154.28,151.02,142.48,164.25,113.58,132.12,21.0218,114.88,2.8448,3.643,1359.48,11.34,10.86,109.43,1.317,1214.23,129.26,137.33,1.6609,153.22,37.5,2.495,127.9694
2021-05-14,154.28,151.02,142.48,164.25,113.58,132.12,21.0218,114.88,2.8448,3.6426,1360.66,11.35,10.86,109.43,1.315,1214.23,129.26,137.68,1.6585,153.01,37.57,2.529,127.3913
2021-05-21,154.28,151.02,142.48,164.25,113.58,132.12,21.0219,114.88,2.8433,3.6472,1362.22,11.35,10.86,109.43,1.317,1214.23,129.26,137.69,1.6559,153.12,37.51,2.535,127.9919
2021-05-28,154.28,151.02,142.48,164.25,113.58,132.12,21.2639,114.88,2.8516,3.6506,1367.77,11.37,10.86,109.43,1.32,1214.23,129.26,137.99,1.6652,153.38,37.74,2.614,128.5562
2021-06-04,156.96,154.27,145.19,166.77,116.1,133.83,21.3332,115.0,2.8505,3.653,1366.94,11.37,10.86,109.58,1.318,1220.42,130.45,138.22,1.6687,153.44,37.86,2.582,128.8254
2021-06-11,156.96,154.27,145.19,166.77,116.1,133.83,21.4067,115.0,2.8544,3.653,1368.3,11.38,10.86,109.58,1.323,1220.42,130.45,138.58,1.6753,153.63,37.86,2.572,129.0912
2021-06-18,156.96,154.27,145.19,166.77,116.1,133.83,21.3467,115.0,2.8601,3.6557,1369.66,11.38,10.86,109.58,1.323,1220.42,132.22,138.83,1.6653,153.15,38.04,2.52,128.7579
2021-06-25,156.96,154.27,145.19,166.77,116.1,133.83,21.4177,115.0,2.8663,3.6678,1371.02,11.4,10.87,109.58,1.32,1220.42,132.22,138.7,1.6775,153.54,37.9,2.561,129.1472
2021-07-02,161.98,159.21,152.59,173.59,122.51,133.6,21.5631,115.14,2.8641,3.6687,1366.08,11.39,10.87,109.69,1.32,1213.25,132.49,138.88,1.6811,153.61,38.01,2.513,129.3868
2021-07-09,161.98,159.21,152.59,173.59,122.51,133.6,21.3745,115.14,2.8593,3.6655,1367.46,11.41,10.87,109.69,1.322,1213.25,132.49,138.97,1.6792,153.66,38.16,2.504,128.9368
2021-07-16,161.98,159.21,152.59,173.59,122.51,133.6,21.4352,115.14,2.8684,3.6756,1368.85,11.42,10.87,109.69,1.32,1213.25,132.16,139.06,1.6785,153.46,38.28,2.516,129.3295
2021-07-23,161.98,159.21,152.59,173.59,122.51,133.6,21.5607,115.14,2.8773,3.6823,1375.26,11.43,10.87,109.69,1.322,1213.25,132.16,138.96,1.6818,153.72,37.96,2.501,129.3315
2021-07-30,164.88,160.08,153.54,173.94,122.9,135.02,21.6715,115.48,2.8719,3.6758,1376.57,11.42,10.87,109.75,1.322,1208.0,131.98,138.68,1.685,153.84,38.32,2.431,129.2126
2021-08-06,164.88,160.08,153.54,173.94,122.9,135.02,21.9659,115.48,2.8765,3.6832,1378.24,11.42,10.87,109.75,1.325,1208.0,131.98,138.68,1.6867,153.88,38.41,2.454,129.7877
2021-08-13,164.88,160.08,153.54,173.94,122.9,135.02,22.0835,115.48,2.8722,3.6788,1379.57,11.46,10.87,109.75,1.328,1208.0,131.98,138.89,1.6898,154.12,38.43,2.459,129.9721
2021-08-20,164.88,160.08,153.54,173.94,122.9,135.02,21.8556,115.48,2.8777,3.6788,1380.89,11.47,10.88,109.75,1.329,1208.0,132.21,139.08,1.6834,153.84,38.43,2.415,129.0861
2021-08-27,164.88,160.08,153.54,173.94,122.9,135.02,22.0085,115.48,2.8856,3.6939,1382.23,11.46,10.88,109.75,1.331,1208.0,132.21,139.07,1.6928,154.29,38.58,2.444,130.0698
2021-09-03,165.59,163.01,155.06,176.35,124.44,136.0,22.1018,115.54,2.8923,3.6971,1382.87,11.46,10.88,109.85,1.336,1210.82,133.06,139.5,1.7015,154.45,38.7,2.473,131.1148
2021-09-10,165.59,163.01,155.06,176.35,124.44,136.0,22.1447,115.54,2.8984,3.7106,1384.23,11.51,10.88,109.85,1.336,1210.82,133.06,139.51,1.6939,154.29,38.74,2.525,130.9822
2021-09-17,165.59,163.01,155.06,176.35,124.44,136.0,22.1014,115.54,2.9052,3.7133,1385.59,11.45,10.88,109.85,1.336,1210.82,132.88,139.65,1.6881,154.12,38.41,2.478,130.8165
2021-09-24,165.59,163.01,155.06,176.35,124.44,136.0,22.0201,115.54,2.9056,3.7163,1386.96,11.5,10.88,109.85,1.338,1210.82,132.88,139.33,1.6876,154.04,37.89,2.475,130.1672
2021-10-01,164.72,163.9,156.25,177.9,124.78,136.35,22.1107,115.95,2.9013,3.7174,1388.43,11.52,10.88,110.09,1.339,1196.3,131.96,139.38,1.6937,153.77,37.67,2.486,128.7809
2021-10-08,164.72,163.9,156.25,177.9,124.78,136.35,22.0984,115.95,2.9079,3.7229,1389.69,11.57,10.88,110.09,1.336,1196.3,131.96,139.37,1.6465,153.73,37.87,2.5,129.0677
2021-10-15,164.72,163.9,156.25,177.9,124.78,136.35,22.3059,115.95,2.9177,3.739,1391.3,11.58,10.88,110.09,1.341,1196.3,132.35,138.6,1.6663,153.85,37.95,2.508,129.5699
2021-10-22,164.72,163.9,156.25,177.9,124.78,136.35,22.4736,115.95,2.9275,3.7506,1392.66,11.6,10.89,110.09,1.342,1196.3,132.35,138.77,1.6751,153.86,38.73,2.535,130.285
2021-10-29,176.4,168.26,159.96,180.61,125.55,138.23,22.3996,116.21,2.9231,3.7483,1394.02,11.56,10.89,110.11,1.347,1208.62,133.14,138.55,1.6845,153.94,38.95,2.518,130.2666
2021-11-05,176.4,168.26,159.96,180.61,125.55,138.23,22.5001,116.21,2.9239,3.7498,1405.15,11.57,10.89,110.11,1.349,1208.62,133.14,138.55,1.6984,154.37,39.14,2.504,131.3939
2021-11-12,176.4,168.26,159.96,180.61,125.55,138.23,22.547,116.21,2.9276,3.7548,1406.48,11.56,10.89,110.11,1.35,1208.62,133.14,138.61,1.6958,154.19,39.52,2.527,131.2278
2021-11-19,176.4,168.26,159.96,180.61,125.55,138.23,22.3026,116.21,2.9313,3.7513,1407.82,11.58,10.89,110.11,1.348,1208.62,134.11,138.81,1.6943,154.1,39.52,2.524,131.1171
2021-11-26,176.4,168.26,159.96,180.61,125.55,138.23,21.7875,116.21,2.9281,3.7545,1409.15,11.58,10.89,110.11,1.342,1208.62,134.11,138.68,1.6784,153.82,39.52,2.515,129.9492
2021-12-03,176.36,170.64,161.58,182.44,126.51,139.92,21.963,116.25,2.9304,3.7492,1410.02,11.61,10.89,109.82,1.342,1188.23,133.01,138.1,1.6758,153.55,38.47,2.531,129.2905
2021-12-10,176.36,170.64,161.58,182.44,126.51,139.92,21.7865,116.25,2.93,3.7539,1411.36,11.6,10.89,109.82,1.345,1188.23,133.01,138.27,1.6929,153.76,39.1,2.58,130.3973
2021-12-17,176.36,170.64,161.58,182.44,126.51,139.92,21.8986,116.25,2.9292,3.755,1412.69,11.61,10.89,109.82,1.346,1188.23,134.06,138.4,1.6929,153.76,38.85,2.542,129.5571
2021-12-24,176.36,170.64,161.58,182.44,126.51,139.92,21.9184,116.25,2.9374,3.7612,1414.03,11.62,10.9,109.82,1.349,1188.23,134.06,138.38,1.6958,153.96,39.03,2.538,129.9936
2021-12-31,182.56,175.93,166.95,188.58,131.17,148.59,22.1302,116.57,2.9381,3.7697,1415.35,11.63,10.9,110.04,1.35,1200.45,135.89,138.6,1.7088,154.13,39.03,2.555,130.3704
2022-01-07,182.56,175.93,166.95,188.58,131.17,148.59,22.2449,116.57,2.9414,3.7748,1416.33,11.64,10.9,110.04,1.35,1200.45,135.89,138.6,1.6967,153.76,39.63,2.522,129.4822
2022-01-14,182.56,175.93,166.95,188.58,131.17,148.59,22.6119,116.57,2.9513,3.7834,1417.68,11.63,10.9,110.04,1.347,1200.45,135.89,138.56,1.7106,153.63,39.4,2.517,129.6124
2022-01-21,182.56,175.93,166.95,188.58,131.17,148.59,22.5163,116.57,2.961,3.7951,1421.01,11.64,10.9,110.04,1.347,1200.45,134.86,138.4,1.6913,153.02,38.81,2.543,128.4681
2022-01-28,182.56,175.93,166.95,188.58,131.17,148.59,22.5308,116.57,2.9577,3.7931,1421.72,11.65,10.9,110.04,1.346,1200.45,134.86,138.23,1.6838,152.52,37.83,2.464,126.8428
2022-02-04,182.56,175.93,166.95,188.58,131.17,148.59,22.6486,116.57,2.9558,3.7901,1421.81,11.66,10.9,109.91,1.345,1192.33,134.86,137.75,1.6901,152.72,38.56,2.475,127.9764
2022-02-11,182.56,175.93,166.95,188.58,131.17,148.59,22.5737,116.57,2.9707,3.8039,1421.87,11.65,10.9,109.91,1.344,1192.33,134.86,137.62,1.6855,152.51,38.4,2.501,128.1968
