Date,AIBALMA AB Equity,LODFUIA LX Equity,CCASORI MK Equity,BBFTOP3 KY Equity,CRLCBUU LX Equity,BCUSDLF KK Equity,PGPGIFA ID Equity,PFGLAAU LX Equity,ALPCRDA LX Equity,BUTIBLI KY Equity
09/04/2021,20.7567,114.7,2.8288,1354.29,11.29,10.85,1.304,128.1,136.43,37.08
16/04/2021,20.8977,114.7,2.8332,1355.66,11.28,10.86,1.309,129,136.65,37.31
23/04/2021,20.9461,114.7,2.8393,1357.03,11.3,10.86,1.312,129,136.95,37.25
30/04/2021,21.2576,114.88,2.8382,1358.4,11.31,10.86,1.314,129.26,137.33,37.61
07/05/2021,21.0218,114.88,2.8448,1359.48,11.34,10.86,1.317,129.26,137.33,37.5
14/05/2021,21.0218,114.88,2.8448,1360.66,11.35,10.86,1.315,129.26,137.68,37.57
21/05/2021,21.0219,114.88,2.8433,1362.22,11.35,10.86,1.317,129.26,137.69,37.51
28/05/2021,21.2639,114.88,2.8516,1367.77,11.37,10.86,1.32,129.26,137.99,37.74
04/06/2021,21.3332,115,2.8505,1366.94,11.37,10.86,1.318,130.45,138.22,37.86
11/06/2021,21.4067,115,2.8544,1368.3,11.38,10.86,1.323,130.45,138.58,37.86
18/06/2021,21.3467,115,2.8601,1369.66,11.38,10.86,1.323,132.22,138.83,38.04
25/06/2021,21.4177,115,2.8663,1371.02,11.4,10.87,1.32,132.22,138.7,37.9
02/07/2021,21.5631,115.14,2.8641,1366.08,11.39,10.87,1.32,132.49,138.88,38.01
09/07/2021,21.3745,115.14,2.8593,1367.46,11.41,10.87,1.322,132.49,138.97,38.16
16/07/2021,21.4352,115.14,2.8684,1368.85,11.42,10.87,1.32,132.16,139.06,38.28
23/07/2021,21.5607,115.14,2.8773,1375.26,11.43,10.87,1.322,132.16,138.96,37.96
30/07/2021,21.6715,115.48,2.8719,1376.57,11.42,10.87,1.322,131.98,138.68,38.32
06/08/2021,21.9659,115.48,2.8765,1378.24,11.42,10.87,1.325,131.98,138.68,38.41
13/08/2021,22.0835,115.48,2.8722,1379.57,11.46,10.87,1.328,131.98,138.89,38.43
20/08/2021,21.8556,115.48,2.8777,1380.89,11.47,10.88,1.329,132.21,139.08,38.43
27/08/2021,22.0085,115.48,2.8856,1382.23,11.46,10.88,1.331,132.21,139.07,38.58
03/09/2021,22.1018,115.54,2.8923,1382.87,11.46,10.88,1.336,133.06,139.5,38.7
10/09/2021,22.1447,115.54,2.8984,1384.23,11.51,10.88,1.336,133.06,139.51,38.74
17/09/2021,22.1014,115.54,2.9052,1385.59,11.45,10.88,1.336,132.88,139.65,38.41
24/09/2021,22.0201,115.54,2.9056,1386.96,11.5,10.88,1.338,132.88,139.33,37.89
01/10/2021,22.1107,115.95,2.9013,1388.43,11.52,10.88,1.339,131.96,139.38,37.67
08/10/2021,22.0984,115.95,2.9079,1389.69,11.57,10.88,1.336,131.96,139.37,37.87
15/10/2021,22.3059,115.95,2.9177,1391.3,11.58,10.88,1.341,132.35,138.6,37.95
22/10/2021,22.4736,115.95,2.9275,1392.66,11.6,10.89,1.342,132.35,138.77,38.73
29/10/2021,22.3996,116.21,2.9231,1394.02,11.56,10.89,1.347,133.14,138.55,38.95
05/11/2021,22.5001,116.21,2.9239,1405.15,11.57,10.89,1.349,133.14,138.55,39.14
12/11/2021,22.547,116.21,2.9276,1406.48,11.56,10.89,1.35,133.14,138.61,39.52
19/11/2021,22.3026,116.21,2.9313,1407.82,11.58,10.89,1.348,134.11,138.81,39.52
26/11/2021,21.7875,116.21,2.9281,1409.15,11.58,10.89,1.342,134.11,138.68,39.52
03/12/2021,21.963,116.25,2.9304,1410.02,11.61,10.89,1.342,133.01,138.1,38.47
10/12/2021,21.7865,116.25,2.93,1411.36,11.6,10.89,1.345,133.01,138.27,39.1
17/12/2021,21.8986,116.25,2.9292,1412.69,11.61,10.89,1.346,134.06,138.4,38.85
24/12/2021,21.9184,116.25,2.9374,1414.03,11.62,10.9,1.349,134.06,138.38,39.03
31/12/2021,22.1302,116.57,2.9381,1415.35,11.63,10.9,1.35,135.89,138.6,39.03
07/01/2022,22.2449,116.57,2.9414,1416.33,11.64,10.9,1.35,135.89,138.6,39.63
14/01/2022,22.6119,116.57,2.9513,1417.68,11.63,10.9,1.347,135.89,138.56,39.4
21/01/2022,22.5163,116.57,2.961,1421.01,11.64,10.9,1.347,134.86,138.4,38.81
28/01/2022,22.5308,116.57,2.9577,1421.72,11.65,10.9,1.346,134.86,138.23,37.83
04/02/2022,22.6486,116.57,2.9558,1421.81,11.66,10.9,1.345,134.86,137.75,38.56
11/02/2022,22.5737,116.57,2.9707,1421.87,11.65,10.9,1.344,134.86,137.62,38.4
